code,abbr,Name,State_name,value,Latitude,Longitude,returned address
532,AD,Adilabad,Telangana,13.26954709,19.6640624,78.5320107,"Adilabad, Telangana 504001, India"
146,AG,Agra,Uttar Pradesh,13.34480855,27.1766701,78.0080745,"Agra, Uttar Pradesh, India"
474,AH,Ahmadabad,Gujarat,6.334152317,23.022505,72.5713621,"Ahmedabad, Gujarat, India"
522,AH,Ahmadnagar,Maharashtra,10.06282193,19.0952075,74.7495916,"Ahmednagar, Maharashtra, India"
283,AI,Aizawl,Mizoram,0,23.727107,92.7176389,"Aizawl, Mizoram, India"
119,AJ,Ajmer,Rajasthan,15.06086598,26.4498954,74.6399163,"Ajmer, Rajasthan, India"
501,AK,Akola,Maharashtra,10.41840095,20.7002159,77.0081678,"Akola, Maharashtra, India"
598,AL,Alappuzha,Kerala,11.44568376,9.4980667,76.3388484,"Alappuzha, Kerala, India"
143,AL,Aligarh,Uttar Pradesh,27.78608717,27.8973944,78.0880129,"Aligarh, Uttar Pradesh, India"
465,AL,Alirajpur,Madhya Pradesh,6.175591462,22.3403431,74.4994517,"Alirajpur, Madhya Pradesh, India"
175,AH,Allahabad,Uttar Pradesh,19.07012825,25.4358011,81.846311,"Allahabad, Uttar Pradesh, India"
64,AL,Almora,Uttarakhand,3.771851195,29.5892407,79.646666,"Almora, Uttarakhand, India"
104,AL,Alwar,Rajasthan,15.08146446,27.5529907,76.6345735,"Alwar, Rajasthan, India"
70,AM,Ambala,Haryana,15.24261089,30.3781788,76.7766974,"Ambala, Haryana, India"
178,AN,Ambedkar Nagar,Uttar Pradesh,18.17557784,26.4683952,82.6915429,"Ambedkar Nagar, Uttar Pradesh, India"
503,AM,Amravati,Maharashtra,19.28719432,20.9374238,77.7795513,"Amravati, Maharashtra, India"
480,AM,Amreli,Gujarat,21.09114444,21.6031774,71.2220832,"Amreli, Gujarat 365601, India"
49,AM,Amritsar,Punjab,9.840780903,31.6339793,74.8722642,"Amritsar, Punjab, India"
482,AN,Anand,Gujarat,15.74630449,22.5645175,72.928871,"Anand, Gujarat, India"
553,AN,Anantapur,Andhra Pradesh,13.07132209,14.6818877,77.6005911,"Anantapur, Andhra Pradesh, India"
14,AN,Anantnag,Jammu & Kashmir,20.20780723,33.7311255,75.1487007,Anantnag
384,AN,Anugul,Orissa,24.18864189,20.8444033,85.1510818,"Angul, Odisha, India"
461,AP,Anuppur,Madhya Pradesh,8.556705021,23.1136554,81.697629,"Anuppur, Madhya Pradesh 484224, India"
209,AR,Araria,Bihar,3.238760991,26.1311375,87.445534,"Araria, Bihar, India"
616,AY,Ariyalur,Tamilnadu,16.16518346,11.1400585,79.0786281,"Ariyalur, Tamil Nadu, India"
240,AR,Arwal,Bihar,3.589962374,25.1643264,84.6688348,"Arwal, Bihar, India"
459,AS,Ashoknagar,Madhya Pradesh,11.01445914,24.5775148,77.7318495,"Ashoknagar, Madhya Pradesh, India"
162,AU,Auraiya,Uttar Pradesh,15.78201508,26.6869797,79.4703885,"Auraiya, Uttar Pradesh, India"
235,AU,Aurangabad,Bihar,8.598965463,19.8761653,75.3433139,"Aurangabad, Maharashtra, India"
515,AU,Aurangabad,Maharashtra,14.40509781,19.8761653,75.3433139,"Aurangabad, Maharashtra, India"
191,AZ,Azamgarh,Uttar Pradesh,24.65477784,26.0737044,83.1859458,"Azamgarh, Uttar Pradesh, India"
2,BD,Badgam,Jammu & Kashmir,35.53058395,33.9348549,74.6400432,Budgam
556,BK,Bagalkot,Karnataka,6.755383775,16.1725355,75.6557206,"Bagalkot, Karnataka, India"
63,BA,Bageshwar,Uttarakhand,1.881507361,29.8403606,79.769426,"Bageshwar, Uttarakhand 263642, India"
139,BG,Baghpat,Uttar Pradesh,27.95752727,28.9421618,77.2261452,"Baghpat, Uttar Pradesh 250609, India"
180,BH,Bahraich,Uttar Pradesh,22.61843015,27.5708377,81.5980246,"Bahraich, Uttar Pradesh, India"
324,BK,Baksa,Assam,11.90327079,26.6935448,91.5983959,"Baksa, Assam, India"
457,BL,Balaghat,Madhya Pradesh,7.312695907,21.812876,80.1838293,"Balaghat, Madhya Pradesh, India"
393,BL,Balangir,Orissa,22.61253356,20.7074234,83.4842725,"Balangir, Odisha, India"
377,BW,Baleshwar,Orissa,57.86697775,21.4869337,86.9246005,"Balasore, Odisha, India"
193,BL,Ballia,Uttar Pradesh,14.34328444,25.8307174,84.1857115,"Ballia, Uttar Pradesh, India"
182,BP,Balrampur,Uttar Pradesh,14.49178909,27.4308339,82.3017728,"Balrampur, Uttar Pradesh, India"
469,BK,Banas Kantha,Gujarat,17.27348065,24.3454739,71.7622481,"Banaskantha, Gujarat, India"
170,BN,Banda,Uttar Pradesh,12.21011331,25.4796224,80.3380213,"Banda, Uttar Pradesh 210001, India"
9,BPR,Bandipore,Jammu & Kashmir,34.83397581,34.5052269,74.6868815,Bandipora
572,BN,Bangalore,Karnataka,10.77684876,12.9715987,77.5945627,"Bengaluru, Karnataka, India"
583,BR,Bangalore Rural,Karnataka,34.43759,13.2846993,77.6077865,"Bangalore Rural, Karnataka, India"
225,BA,Banka,Bihar,10.06702009,24.7757005,86.8220341,"Banka, Bihar, India"
339,BN,Bankura,West Bengal,20.99300632,23.164543,87.0624261,"Bankura, West Bengal, India"
125,BN,Banswara,Rajasthan,9.662389394,23.5461394,74.4349761,"Banswara, Rajasthan 327001, India"
176,BB,Barabanki,Uttar Pradesh,20.05980926,26.995506,81.2518833,"Barabanki, Uttar Pradesh, India"
8,BR,Baramula,Jammu & Kashmir,25.28870411,34.1595145,74.3587473,Baramulla
128,BR,Baran,Rajasthan,13.80162011,25.1011438,76.5131637,"Baran, Rajasthan, India"
335,BR,Barddhaman,West Bengal,18.26159372,23.2324214,87.8614793,"Bardhaman, West Bengal, India"
150,BR,Bareilly,Uttar Pradesh,13.40629207,28.3670355,79.4304381,"Bareilly, Uttar Pradesh, India"
370,BR,Bargarh,Orissa,50.19189809,21.3425839,83.624201,"Bargarh, Odisha, India"
115,BM,Barmer,Rajasthan,18.76600335,25.7531537,71.4180622,"Barmer, Rajasthan 344001, India"
54,BNL,Barnala,Punjab,10.68297491,30.3819446,75.5467979,"Barnala, Punjab, India"
303,BA,Barpeta,Assam,6.817932219,26.3304209,91.0040547,"Barpeta, Assam, India"
441,BR,Barwani,Madhya Pradesh,10.45544314,22.0363157,74.903339,"Barwani, Madhya Pradesh 451551, India"
414,BA,Bastar,Chhattisgarh,9.969579656,19.1071317,81.9534815,"Bastar, Chhattisgarh, India"
185,BS,Basti,Uttar Pradesh,38.51547436,26.8176796,82.7633133,"Basti, Uttar Pradesh, India"
46,BA,Bathinda,Punjab,8.70996201,30.210994,74.9454745,"Bathinda, Punjab, India"
391,BD,Baudh,Orissa,17.46070604,20.8418205,84.3200184,"Baudhgarh, Odisha 762014, India"
222,BE,Begusarai,Bihar,4.921325779,25.416675,86.1293792,"Begusarai, Bihar, India"
555,BG,Belgaum,Karnataka,6.259858178,15.8496953,74.4976741,"Belgaum, Karnataka, India"
565,BL,Bellary,Karnataka,16.58732893,15.1393932,76.9214428,"Ballari, Karnataka, India"
447,BE,Betul,Madhya Pradesh,11.66271625,21.9671753,77.7452081,"Betul, Madhya Pradesh, India"
378,BH,Bhadrak,Orissa,16.40004859,21.0582737,86.4958396,"Bhadrak, Odisha, India"
224,BG,Bhagalpur,Bihar,89.45389474,25.3478004,86.9824288,"Bhagalpur, Bihar, India"
506,BH,Bhandara,Maharashtra,7.31379766,21.0736452,79.8296743,"Bhandara, Maharashtra, India"
105,BP,Bharatpur,Rajasthan,22.49238953,27.216981,77.489515,"Bharatpur, Rajasthan, India"
488,BR,Bharuch,Gujarat,10.97858891,21.7051358,72.9958748,"Bharuch, Gujarat, India"
481,BV,Bhavnagar,Gujarat,21.08135601,21.7644725,72.1519304,"Bhavnagar, Gujarat, India"
122,BW,Bhilwara,Rajasthan,16.80158338,25.321377,74.586953,"Bhilwara, Rajasthan, India"
420,BD,Bhind,Madhya Pradesh,12.29532503,26.4450034,78.7476208,"Bhind, Madhya Pradesh, India"
81,BH,Bhiwani,Haryana,27.43806001,28.7751693,75.9927652,"Bhiwani, Haryana, India"
231,BJ,Bhojpur,Bihar,7.990376802,25.466155,84.5222189,"Bhojpur, Bihar, India"
444,BP,Bhopal,Madhya Pradesh,5.015054442,23.2599333,77.412615,"Bhopal, Madhya Pradesh, India"
523,BI,Bid,Maharashtra,12.74482611,36.991475,-95.622884,"715 Seminole St, South Coffeyville, OK 74072, USA"
